interest_rate,fico_range,amount_requested,amount_funded_by_investors,loan_length
8.9,735-739,20000,20000,36
12.12,715-719,19200,19200,36
21.98,690-694,35000,35000,60
9.99,695-699,10000,9975,36
11.71,695-699,12000,12000,36
15.31,670-674,6000,6000,36
7.9,720-724,10000,10000,36
17.14,705-709,33500,33450,60
14.33,685-689,14675,14675,36
6.91,715-719,7000,7000,36
19.72,670-674,2000,2000,36
14.27,665-669,10625,10625,36
21.67,670-674,28000,27975,60
8.9,735-739,35000,34950,36
7.62,725-729,9600,9600,36
15.65,730-734,25000,24975,60
12.12,695-699,10000,10000,36
10.37,740-744,14000,13900.25,60
9.76,730-734,10000,10000,36
9.99,760-764,5200,5175,60
21.98,665-669,22000,21975,36
19.05,695-699,30000,30000,60
17.99,665-669,6500,6500,60
11.99,695-699,17400,17400,36
16.82,670-674,4000,4000,60
7.9,705-709,7200,7200,36
14.42,675-679,8000,8000,36
15.31,675-679,8000,8000,36
8.59,765-769,3000,3000,36
7.9,760-764,14500,14500,36
21,685-689,23850,23850,60
12.12,685-689,14000,14000,36
16.49,720-724,35000,34975,60
15.8,685-689,16000,16000,60
13.55,675-679,17350,7019.25,36
7.9,780-784,8000,7975,36
7.9,720-724,7200,7200,36
7.62,830-834,20125,20125,36
8.9,715-719,12000,11875,36
12.49,660-664,2400,1850,36
17.27,670-674,3200,3200,36
11.14,720-724,12725,12725,36
19.13,660-664,5500,5500,36
21.74,660-664,15650,15650,36
17.27,675-679,9000,9000,36
11.86,715-719,5000,5000,36
10.38,710-714,3000,3000,36
23.91,670-674,20000,19975,60
7.49,785-789,5450,5450,60
12.12,705-709,14000,14000,36
10.38,750-754,8800,8799.04,60
17.44,660-664,3000,3000,36
17.27,700-704,32000,32000,60
21.49,665-669,22250,22250,60
17.8,680-684,7325,7300,60
11.14,725-729,16450,16450,36
12.98,670-674,2500,2500,36
9.99,715-719,6000,6000,36
14.33,690-694,27575,27575,36
8.59,755-759,1000,1000,36
11.49,705-709,12000,12000,36
10.16,715-719,30000,30000,36
14.33,680-684,13500,13500,36
15.8,665-669,9000,9000,36
9.91,730-734,15000,15000,36
7.9,725-729,5300,5300,36
13.11,685-689,7000,7000,36
16.29,685-689,20000,19975,36
18.25,705-709,15000,14993.57,60
14.09,695-699,8000,8000,36
19.03,695-699,24000,23947.48,60
8.9,715-719,7500,7500,36
11.83,735-739,17000,16875,36
17.27,665-669,12000,12000,36
15.31,670-674,6000,6000,36
13.12,670-674,6725,825,36
6.76,790-794,4500,4500,36
10.83,700-704,1600,1600,36
17.77,665-669,10000,10000,36
7.9,725-729,18550,18525,36
13.06,710-714,7450,7450,36
7.62,760-764,3225,3225,36
17.77,680-684,23675,23675,36
12.12,690-694,12000,12000,36
16.49,695-699,25000,25000,36
11.12,725-729,16000,15850,36
8.9,810-814,4200,4175,36
14.09,675-679,10000,10000,36
7.51,750-754,6000,6000,36
13.11,685-689,6000,6000,36
16.29,665-669,7925,7925,36
7.62,765-769,16000,15925,36
15.81,670-674,9525,9500,36
14.35,675-679,6000,6000,36
14.96,675-679,10000,9975,36
6.62,750-754,7000,7000,36
5.99,765-769,4500,4500,36
11.14,735-739,12000,12000,36
19.72,665-669,10375,10375,36
